# t theta1 omega1 theta2 omega2 E_kin E_pot E_total
0.00000 1.50000 0.00000 1.50000 0.00000 0.00000 -2.08180 -2.08180
0.01000 1.49951 -0.09785 1.50000 -0.00000 0.00958 -2.09137 -2.08180
0.02000 1.49804 -0.19569 1.50000 -0.00002 0.03830 -2.12009 -2.08180
0.03000 1.49560 -0.29350 1.50000 -0.00007 0.08616 -2.16796 -2.08180
0.04000 1.49217 -0.39126 1.50000 -0.00017 0.15315 -2.23494 -2.08180
0.05000 1.48777 -0.48894 1.50000 -0.00037 0.23924 -2.32104 -2.08180
0.06000 1.48239 -0.58651 1.49999 -0.00071 0.34441 -2.42620 -2.08180
0.07000 1.47604 -0.68393 1.49998 -0.00125 0.46861 -2.55041 -2.08180
0.08000 1.46872 -0.78114 1.49996 -0.00207 0.61180 -2.69360 -2.08180
0.09000 1.46042 -0.87808 1.49994 -0.00330 0.77392 -2.85572 -2.08180
0.10000 1.45116 -0.97466 1.49990 -0.00504 0.95488 -3.03668 -2.08180
0.11000 1.44093 -1.07078 1.49983 -0.00748 1.15459 -3.23639 -2.08180
0.12000 1.42974 -1.16633 1.49974 -0.01078 1.37294 -3.45473 -2.08180
0.13000 1.41760 -1.26118 1.49962 -0.01518 1.60978 -3.69157 -2.08180
0.14000 1.40452 -1.35517 1.49944 -0.02092 1.86494 -3.94674 -2.08180
0.15000 1.39050 -1.44814 1.49919 -0.02828 2.13824 -4.22003 -2.08180
0.16000 1.37556 -1.53991 1.49886 -0.03757 2.42944 -4.51123 -2.08180
0.17000 1.35971 -1.63027 1.49843 -0.04911 2.73828 -4.82007 -2.08180
0.18000 1.34296 -1.71901 1.49787 -0.06328 3.06446 -5.14625 -2.08180
0.19000 1.32534 -1.80591 1.49716 -0.08042 3.40765 -5.48944 -2.08180
0.20000 1.30685 -1.89075 1.49625 -0.10094 3.76746 -5.84926 -2.08180
0.21000 1.28753 -1.97329 1.49513 -0.12520 4.14348 -6.22528 -2.08180
0.22000 1.26739 -2.05332 1.49374 -0.15360 4.53526 -6.61705 -2.08180
0.23000 1.24647 -2.13060 1.49204 -0.18650 4.94228 -7.02407 -2.08180
0.24000 1.22479 -2.20493 1.48999 -0.22425 5.36401 -7.44580 -2.08180
0.25000 1.20238 -2.27610 1.48754 -0.26717 5.79987 -7.88167 -2.08180
0.26000 1.17928 -2.34394 1.48463 -0.31555 6.24925 -8.33104 -2.08180
0.27000 1.15552 -2.40827 1.48121 -0.36964 6.71149 -8.79329 -2.08180
0.28000 1.13113 -2.46896 1.47722 -0.42965 7.18593 -9.26773 -2.08180
0.29000 1.10615 -2.52586 1.47259 -0.49573 7.67186 -9.75366 -2.08180
0.30000 1.08062 -2.57887 1.46728 -0.56801 8.16855 -10.25034 -2.08180
0.31000 1.05459 -2.62788 1.46121 -0.64654 8.67525 -10.75704 -2.08180
0.32000 1.02808 -2.67281 1.45433 -0.73135 9.19119 -11.27299 -2.08180
0.33000 1.00114 -2.71357 1.44656 -0.82242 9.71561 -11.79741 -2.08180
0.34000 0.97382 -2.75009 1.43786 -0.91969 10.24771 -12.32950 -2.08180
0.35000 0.94616 -2.78229 1.42815 -1.02307 10.78669 -12.86848 -2.08180
0.36000 0.91819 -2.81009 1.41738 -1.13243 11.33174 -13.41354 -2.08180
0.37000 0.88997 -2.83341 1.40548 -1.24761 11.88207 -13.96387 -2.08180
0.38000 0.86154 -2.85216 1.39241 -1.36842 12.43687 -14.51866 -2.08180
0.39000 0.83294 -2.86622 1.37810 -1.49467 12.99532 -15.07711 -2.08180
0.40000 0.80423 -2.87550 1.36250 -1.62612 13.55661 -15.63841 -2.08180
0.41000 0.77545 -2.87986 1.34556 -1.76254 14.11994 -16.20174 -2.08180
0.42000 0.74665 -2.87917 1.32723 -1.90368 14.68450 -16.76629 -2.08180
0.43000 0.71788 -2.87328 1.30747 -2.04926 15.24948 -17.33128 -2.08180
0.44000 0.68920 -2.86205 1.28623 -2.19901 15.81408 -17.89587 -2.08180
0.45000 0.66066 -2.84531 1.26348 -2.35266 16.37749 -18.45928 -2.08180
0.46000 0.63231 -2.82292 1.23917 -2.50991 16.93890 -19.02070 -2.08180
0.47000 0.60422 -2.79472 1.21327 -2.67048 17.49750 -19.57930 -2.08180
0.48000 0.57644 -2.76056 1.18575 -2.83408 18.05247 -20.13427 -2.08180
0.49000 0.54903 -2.72033 1.15658 -3.00042 18.60297 -20.68476 -2.08180
0.50000 0.52205 -2.67392 1.12573 -3.16920 19.14814 -21.22994 -2.08180
0.51000 0.49557 -2.62126 1.09318 -3.34013 19.68711 -21.76891 -2.08180
0.52000 0.46965 -2.56233 1.05892 -3.51291 20.21896 -22.30075 -2.08180
0.53000 0.44435 -2.49717 1.02292 -3.68723 20.74272 -22.82451 -2.08180
0.54000 0.41973 -2.42587 0.98517 -3.86277 21.25738 -23.33917 -2.08179
0.55000 0.39585 -2.34863 0.94566 -4.03916 21.76184 -23.84364 -2.08179
0.56000 0.37277 -2.26575 0.90439 -4.21599 22.25494 -24.33674 -2.08179
0.57000 0.35055 -2.17768 0.86134 -4.39275 22.73540 -24.81720 -2.08179
